file,url,status,chars_body
2025-01-06-nigeria-iris-biometrics-digital-id.md,https://www.biometricupdate.com/202501/nigeria-wants-to-add-iris-biometrics-to-digital-id-for-more-inclusion,filled,2862
2025-01-08-interpol-hails-nigeria-cybercrime.md,https://itweb.africa/article/interpol-hails-nigeria-for-tackling-cyber-crime/raYAyqorRYKMJ38N,filled,2125
2025-01-09-new-telecom-tariffs-expected-friday.md,https://techcabal.com/2025/01/09/telecom-tariffs-hike-to-begin-on-friday,filled,3472
2025-01-09-nigeria-police-cybercrime-unit-interpol.md,https://www.wearetech.africa/en/fils-uk/news/nigeria-police-cybercrime-unit-recovers-funds-named-best-in-africa-by-interpol,filled,3211
2025-01-09-nigeria-prepares-telecom-tariff-adjustments.md,https://techafricanews.com/2025/01/09/nigeria-prepares-for-telecom-tariff-adjustments,filled,1735
2025-01-13-napps-1bn-digital-education-deal.md,https://itweb.africa/article/nigerias-napps-signs-1bn-digital-education-deal-with-us-firm/6GxRKqYQ2dlqb3Wj,filled,2396
2025-01-14-aws-accepts-naira-payments.md,https://techcabal.com/2025/01/14/aws-accepts-naira-payments,filled,3237
2025-01-15-ncc-fccpc-mou-consumer-protection.md,https://techafricanews.com/2025/01/15/ncc-and-fccpc-sign-mou-to-enhance-consumer-protection-in-telecommunications,filled,769
2025-01-15-us-nigeria-2m-fibre-deal.md,https://itweb.africa/article/us-nigeria-ink-2m-deal-to-expand-fibre-optic-network/rxP3jqBE4KpMA2ye,filled,2394
2025-01-15-ustda-nigeria-enhance-internet-access.md,https://www.connectingafrica.com/connectivity/ustda-nigeria-to-enhance-internet-access,filled,3285
2025-01-16-ncc-ussd-disconnection-nine-banks.md,https://techafricanews.com/2025/01/16/ncc-approves-ussd-code-disconnection-for-nine-financial-institutions-over-unpaid-debts,filled,761
2025-01-16-new-fiber-backbone-12-million.md,https://www.telecomreviewafrica.com/articles/general-news/4685-new-fiber-optic-backbone-to-connect-12-million-in-nigeria,filled,3346
2025-01-16-nigeria-steps-up-nin-enrolment.md,https://www.biometricupdate.com/202501/nigeria-steps-up-national-id-enrolment-efforts,filled,4449
2025-01-20-data-centres-anchor-west-africa.md,https://itweb.africa/article/data-centres-anchor-digital-transformation-in-west-africa/PmxVE7KEJW6qQY85,filled,4970
2025-01-20-nigcomsat-eutelsat-leo-services.md,https://www.connectingafrica.com/connectivity/nigcomsat-eutelsat-partner-for-leo-services-in-nigeria,filled,2173
2025-01-20-nigerian-cloud-providers-aws-competition.md,https://techcabal.com/2025/01/20/nigerian-cloud-providers-aws,filled,3738
2025-01-21-cbn-docflow-mda-payment-initiatives.md,https://techafricanews.com/2025/01/21/central-bank-of-nigeria-introduces-initiatives-to-streamline-operations,filled,640
2025-01-21-mainone-equiano-network-resilience.md,https://techafricanews.com/2025/01/21/mainone-boosts-network-resilience-with-equiano-submarine-cable-integration,filled,2324
2025-01-16-cbn-mda-naira-payment-docflow.md,https://www.vanguardngr.com/2025/01/cbn-launches-mda-naira-payment-solutions-docflow,filled,2295
2025-01-20-ncc-approves-50-percent-tariff-increase.md,https://techcabal.com/2025/01/20/ncc-approves-tariff-increase,filled,1337
2025-01-21-mainone-lights-up-equiano.md,https://itweb.africa/article/mainone-lights-up-on-equiano-offering-customers-extra-redundancy/5yONP7ErQAZMXWrb,filled,1602
2025-01-21-ncc-approves-limited-tariff-adjustments.md,https://techafricanews.com/2025/01/21/ncc-approves-limited-tariff-adjustments-to-support-telecom-sector-sustainability,filled,3249
2025-01-21-nigeria-approves-tariff-hikes-12-years.md,https://itweb.africa/article/nigeria-approves-telecom-tariff-hikes-first-time-in-12-yrs/G98YdqLGg4zMX2PD,filled,3704
2025-01-22-equinix-mainone-equiano-capacity.md,https://www.connectingafrica.com/connectivity/equinix-s-mainone-acquires-equiano-capacity,filled,3564
2025-01-22-fg-wiocc-mou-fibre-to-homes.md,https://www.thisdaylive.com/2025/01/22/digital-economy-fg-wiocc-signs-mou-on-fibre-to-homes-internet-connectivity,filled,3951
2025-01-22-nigcomsat-eutelsat-broadband-expansion.md,https://www.telecomreviewafrica.com/articles/reports-and-coverage/4696-nigcomsat-partners-with-eutelsat-to-expand-broadband-in-nigeria,filled,1041
2025-01-23-mtn-10-year-spectrum-extension.md,https://itweb.africa/article/mtn-nigeria-gets-10-year-spectrum-license-extension/rW1xLv5n4Zl7Rk6m,filled,1147
2025-01-23-visa-strategic-investment-moniepoint.md,https://techcabal.com/2025/01/23/moniepoint-visa-investment,filled,2601
2025-01-23-wiocc-fmcide-digital-economy-partnership.md,https://techafricanews.com/2025/01/23/wiocc-and-nigerias-fmcide-partner-to-drive-digital-economy-growth,filled,2887
