file,url,status,chars_body
2025-02-05-nban-launch-digital-connectivity.md,https://techafricanews.com/2025/02/05/nigeria-launches-national-broadband-alliance-to-accelerate-digital-connectivity,filled,1972
2025-02-05-nigeria-approves-internet-ai-projects.md,https://www.wearetech.africa/en/fils-uk/news/telecom/digital-transformation-nigeria-approves-strategic-projects-on-internet-and-ai,filled,3180
2025-02-05-nis-contactless-passport-europe.md,https://www.thisdaylive.com/2025/02/05/nis-to-launch-contactless-passport-solution-in-europe-feb-7,filled,2613
2025-02-06-ai-trust-universal-connectivity-approved.md,https://www.telecomreviewafrica.com/articles/general-news/11205-nigeria-approves-ai-trust-universal-connectivity-project,filled,1800
2025-02-06-house-ncc-illegal-nin-linking.md,https://www.thisdaylive.com/2025/02/06/house-directs-ncc-to-investigate-illegal-linking-of-nin-by-telecom-operators,filled,4291
2025-02-06-nban-boost-digital-inclusion.md,https://www.wearetech.africa/en/fils-uk/news/public-management/nigeria-launches-national-broadband-alliance-to-boost-digital-inclusion,filled,1962
2025-02-06-sec-fast-track-crypto-licencing.md,https://techcabal.com/2025/02/06/sec-to-issue-crypto-licences-faster,filled,6070
2025-02-07-national-space-strategy-ai-trust.md,https://www.wearetech.africa/en/fils-uk/brief/brief-simple/nigeria-moves-to-develop-national-space-strategy-and-ai-trust,filled,813
2025-02-10-busha-lists-cngn-stablecoin.md,https://techafricanews.com/2025/02/10/busha-lists-cngn-expanding-nigerias-digital-economy,filled,666
2025-02-10-civil-servants-identity-verification-deadline.md,https://www.thisdaylive.com/2025/02/10/fg-issues-february-17-deadline-to-civil-servants-on-identity-verification,filled,1161
2025-02-10-nibss-qr-codes-small-payments.md,https://techcabal.com/2025/02/10/nibss-bets-on-qr,filled,3309
2025-02-10-nigeria-sweden-connectivity-agreement.md,https://itweb.africa/article/nigeria-sweden-pen-agreement-to-enhance-connectivity/JBwErvn3nzK76Db2,filled,1256
2025-02-10-nimc-id4d-partner-financial-inclusion.md,https://www.biometricupdate.com/202502/nimcs-new-nigeria-id4d-project-partner-to-increase-financial-inclusion,filled,2861
2025-02-11-mtn-swift-raise-internet-prices.md,https://techcabal.com/2025/02/11/mtn-nigeria-raises-internet-prices,filled,2123
2025-02-12-initiative-broaden-internet-access.md,https://www.telecomreviewafrica.com/articles/general-news/11187-nigerias-new-initiative-to-broaden-nationwide-internet-access,filled,3743
2025-02-12-mtn-tariff-increase-four-plans.md,https://techcabal.com/2025/02/12/mtn-nigeria-tariff-increase,filled,1967
2025-02-12-ncc-ipa-embedded-consumer-lab.md,https://techafricanews.com/2025/02/12/ncc-and-innovations-for-poverty-action-launch-embedded-consumer-lab-to-strengthen-telecom-protections,filled,965
2025-02-12-nedi-leaders-education-data.md,https://www.vanguardngr.com/2025/02/alausa-kawu-pedro-others-lead-charge-for-nigerian-education-data-initiative,filled,3374
2025-02-12-nin-prerequisite-social-services.md,https://www.vanguardngr.com/2025/02/nin-now-prerequisite-for-accessing-social-services-sgf,filled,2515
2025-02-12-sgf-nin-key-social-services.md,https://www.thisdaylive.com/2025/02/12/sgf-akume-nin-key-to-accessing-social-services-palliatives,filled,2962
2025-02-13-nigeria-google-ai-alliance.md,https://itweb.africa/article/nigeria-establishes-google-ai-alliance/kLgB17ezj6GM59N4,filled,2078
2025-02-13-nigeria-google-ai-innovation.md,https://techafricanews.com/2025/02/13/nigeria-google-partner-to-drive-ai-innovation-and-digital-growth,filled,3244
2025-02-14-cbn-local-sourcing-telecoms.md,https://techafricanews.com/2025/02/14/cbn-pushes-for-local-sourcing-in-telecoms-to-strengthen-economy,filled,664
2025-02-14-domestic-telecom-infrastructure-production.md,https://itweb.africa/article/nigeria-promotes-domestic-telecom-infrastructure-production/5yONP7Erw5YMXWrb,filled,1861
2025-02-14-nigeria-google-partnership-digital.md,https://www.wearetech.africa/en/fils-uk/news/tech/nigeria-explores-partnership-with-google-to-drive-digital-transformation,filled,2528
2025-02-19-microsoft-pledges-1m-ai-training.md,https://techcabal.com/2025/02/19/microsoft-pledges-1m,filled,3382
2025-02-19-microsoft-train-one-million-ai.md,https://techafricanews.com/2025/02/19/empowering-the-future-microsoft-to-train-one-million-nigerians-in-ai,filled,775
2025-02-20-microsoft-ai-skilling-initiative.md,https://www.wearetech.africa/en/fils-uk/news/tech/microsoft-invests-1-million-in-ai-skilling-initiative-to-train-one-million-nigerians,filled,1885
2025-02-21-internet-data-usage-1m-terabytes.md,https://techafricanews.com/2025/02/21/nigerias-internet-data-usage-surges-past-1-million-terabytes-in-january,filled,828
2025-02-21-nigerians-surpassed-1m-terabytes.md,https://techcabal.com/2025/02/21/nigerians-surpassed-1m-terabytes,filled,1730
2025-02-23-eu-support-90000km-fibre.md,https://www.thisdaylive.com/2025/02/23/eu-to-provide-support-for-fgs-90000km-fibre-optic-expansion,filled,3949
2025-02-24-expert-body-financial-inclusion.md,https://www.biometricupdate.com/202502/expert-body-set-up-to-drive-nigerias-financial-inclusion-amid-digital-trade-gains,filled,4494
2025-02-24-network-blackouts-diesel-strike.md,https://techcabal.com/2025/02/24/millions-of-nigerians-face-blackout,filled,2697
2025-02-24-nigeria-closer-fresh-census.md,https://www.thisdaylive.com/2025/02/24/nigeria-moves-closer-to-a-fresh-census,filled,4075
2025-02-24-nitda-smedan-msme-digital.md,https://www.wearetech.africa/en/fils-uk/news/tech/nigeria-nitda-others-partner-with-smedan-to-drive-msmes-digital-transformation,filled,2371
2025-02-24-spectranet-starlink-isp-battle.md,https://techafricanews.com/2025/02/24/spectranet-leads-starlink-gains-ground-in-nigerias-isp-battle,filled,680
2025-02-24-stakeholders-inclusive-digital-id.md,https://www.biometricupdate.com/202502/nigeria-stakeholders-propose-strategies-to-accelerate-inclusive-digital-id-issuance,filled,4066
2025-02-25-ai-chatbot-domestic-violence-portal.md,https://www.wearetech.africa/en/fils-uk/news/tech/nigeria-launches-ai-chatbot-and-self-reporting-portal-for-domestic-violence-survivors,filled,2224
2025-02-25-joint-committee-fiber-protection.md,https://techafricanews.com/2025/02/25/nigeria-moves-to-safeguard-fiber-optic-networks-with-new-joint-committee,filled,5411
2025-02-25-tinubu-digital-economy-youth.md,https://www.thisdaylive.com/2025/02/25/tinubu-well-prioritise-digital-economy-for-youth-empowerment-job-creation,filled,9439
