url,title,published,file
https://www.ecofinagency.com/telecom/3003-43499-,Liquid Intelligent acquires Google's fiber pair to improve offers,2022-03,2022-03-01 Liquid Intelligent acquires Google's fiber pair to improve offers.md
https://theconversation.com/undersea-cables-for-africas-internet-retrace-history-225912,Undersea cables for Africa's internet retrace history and leave digital gaps as they connect continents,2024-03-15,2024-03-15 Undersea cables for Africa's internet retrace history and leave digital gaps as they connect continents.md
https://documents1.worldbank.org/curated/en/099050524041520240/txt/P5050951dae66d0e1bc631717e7e7a4e70.txt,"Digital Malawi Acceleration Project (DMAP) (P505095) — Project Information Document, Appraisal Stage (Report No: PIDIA00549)",2024-05-05,2024-05-05-dmap-world-bank-appraisal-pid.md
https://www.wearetech.africa/en/fils-uk/news/nigeria-police-cybercrime-unit-recovers-funds-named-best-in-africa-by-interpol,"Nigeria Police Cybercrime Unit Recovers Funds, Named Best in Africa by INTERPOL",2025-01-09,2025-01-09-nigeria-police-cybercrime-unit-interpol.md
https://techcabal.com/2025/01/14/aws-accepts-naira-payments,Competition in the clouds: AWS will now accept naira payments,2025-01-14,2025-01-14-aws-accepts-naira-payments.md
https://documents1.worldbank.org/curated/en/099012025023033676/txt/P505094-630a5ef9-d23a-4221-b7c8-397c94a90b4d.txt,Project Information Document (Appraisal Stage): Digital Zambia Acceleration Project - DZAP (P505094),2025-01-20,2025-01-20 PID Appraisal Stage - Digital Zambia Acceleration Project (P505094).md
https://techcabal.com/2025/01/20/ncc-approves-tariff-increase,NCC approves 50% tariff increase for Nigerian telcos,2025-01-20,2025-01-20-ncc-approves-50-percent-tariff-increase.md
https://techcabal.com/2025/01/23/moniepoint-visa-investment,Visa makes strategic investment in Nigerian unicorn Moniepoint,2025-01-23,2025-01-23-visa-strategic-investment-moniepoint.md
https://www.standardmedia.co.ke/article/2001510332/local-isps-now-feel-the-heat-as-starlink-doubles-market-share,Local ISPs now feel the heat as Starlink doubles market share,2025-01-25,2025-01-25-isps-starlink-doubles-market-share-standard.md
https://techcabal.com/2025/01/29/nigeria-telcos-lost-11-3-billion,Nigeria telecom operators lost $11.3 billion over 11-year tariff delay,2025-01-29,2025-01-29-telcos-lost-11-billion-tariff-delay.md
